"lang","owner","name","file","mock","dep","origin"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_proxy.py","@mock.patch(""aiohttp.connector.ClientRequest"")","""aiohttp.connector.ClientRequest""","interno"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_proxy.py","@mock.patch(""aiohttp.connector.ClientRequest"")","""aiohttp.connector.ClientRequest""","interno"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_proxy.py","@mock.patch(""aiohttp.connector.ClientRequest"")","""aiohttp.connector.ClientRequest""","interno"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_functional.py","with mock.patch(""aiohttp.client_reqrep.client_logger"") as m_log:","""aiohttp.client_reqrep.client_logger""","interno"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_session.py","with mock.patch(""aiohttp.client.TCPConnector.connect"") as connect_patched:","""aiohttp.client.TCPConnector.connect""","interno"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_session.py","with mock.patch(""aiohttp.client.TCPConnector.connect"") as connect_patched:","""aiohttp.client.TCPConnector.connect""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_pod_generator.py","@mock.patch(""airflow.kubernetes.kubernetes_helper_functions.rand_str"")","""airflow.kubernetes.kubernetes_helper_functions.rand_str""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_pod_generator.py","@mock.patch(""airflow.kubernetes.kubernetes_helper_functions.rand_str"")","""airflow.kubernetes.kubernetes_helper_functions.rand_str""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_pod_generator.py","@mock.patch(""airflow.kubernetes.kubernetes_helper_functions.rand_str"")","""airflow.kubernetes.kubernetes_helper_functions.rand_str""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_pod_generator.py","@mock.patch(""airflow.kubernetes.kubernetes_helper_functions.rand_str"")","""airflow.kubernetes.kubernetes_helper_functions.rand_str""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/models/test_secret.py","@mock.patch(""uuid.uuid4"")","""uuid.uuid4""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/models/test_secret.py","@mock.patch(""uuid.uuid4"")","""uuid.uuid4""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/models/test_secret.py","@mock.patch(""uuid.uuid4"")","""uuid.uuid4""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/models/test_secret.py","@mock.patch(""airflow.kubernetes.pod_generator.rand_str"")","""airflow.kubernetes.pod_generator.rand_str""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_client.py","@mock.patch(""airflow.kubernetes.kube_client.config"")","""airflow.kubernetes.kube_client.config""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_client.py","@mock.patch(""airflow.kubernetes.kube_client.config"")","""airflow.kubernetes.kube_client.config""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_client.py","@mock.patch(""airflow.kubernetes.kube_client.config"")","""airflow.kubernetes.kube_client.config""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/kubernetes/test_client.py","@mock.patch(""airflow.kubernetes.kube_client.conf"")","""airflow.kubernetes.kube_client.conf""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/test_app.py","with mock.patch.dict(""os.environ"", FLASK_APP=""airflow.www.app:cached_app""), mock.patch.object(","""os.environ"", FLASK_APP=""airflow.www.app:cached_app""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/test_security.py","@freeze_time(datetime.datetime(1985, 11, 5, 1, 24, 0))  # Get the Delorean, doc!","datetime.datetime(1985, 11, 5, 1, 24, 0","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/test_security.py","@freeze_time(datetime.datetime(1985, 11, 5, 1, 24, 0))","datetime.datetime(1985, 11, 5, 1, 24, 0","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/test_security.py","@freeze_time(datetime.datetime(1985, 11, 5, 1, 24, 0))","datetime.datetime(1985, 11, 5, 1, 24, 0","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/test_security.py","@freeze_time(datetime.datetime(1985, 11, 5, 1, 24, 0))","datetime.datetime(1985, 11, 5, 1, 24, 0","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views.py","@mock.patch.dict(os.environ, {""AIRFLOW__CORE__UNIT_TEST_MODE"": ""False""})","os.environ, {""AIRFLOW__CORE__UNIT_TEST_MODE"": ""False""}","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views.py","@mock.patch(""airflow.www.views.url_for"")","""airflow.www.views.url_for""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_decorators.py","with mock.patch.object(application.appbuilder.sm, ""can_edit_dag"") as mocked_can_edit:","application.appbuilder.sm, ""can_edit_dag""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_rendered.py","with mock.patch.object(app, ""dag_bag"") as mock_dag_bag:","app, ""dag_bag""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_log.py","@unittest.mock.patch(""airflow.www.views.TaskLogReader"")","""airflow.www.views.TaskLogReader""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.utils.module_loading.import_string"")","""airflow.utils.module_loading.import_string""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock)","""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.utils.module_loading.import_string"")","""airflow.utils.module_loading.import_string""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock)","""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.utils.module_loading.import_string"")","""airflow.utils.module_loading.import_string""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock)","""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.utils.module_loading.import_string"")","""airflow.utils.module_loading.import_string""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock)","""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_connection.py","@mock.patch(""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock)","""airflow.providers_manager.ProvidersManager.hooks"", new_callable=PropertyMock","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_home.py","with mock.patch(""airflow.settings.DASHBOARD_UIALERTS"", [flash_message]):","""airflow.settings.DASHBOARD_UIALERTS"", [flash_message]","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_home.py","with mock.patch(""airflow.settings.DASHBOARD_UIALERTS"", messages):","""airflow.settings.DASHBOARD_UIALERTS"", messages","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_home.py","with mock.patch(""airflow.settings.DASHBOARD_UIALERTS"", messages):","""airflow.settings.DASHBOARD_UIALERTS"", messages","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_home.py","with mock.patch(""airflow.settings.DASHBOARD_UIALERTS"", messages):","""airflow.settings.DASHBOARD_UIALERTS"", messages","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_variable.py","with mock.patch(""airflow.models.Variable.set"") as set_mock:","""airflow.models.Variable.set""","interno"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_extra_links.py","with mock.patch.object(app, ""dag_bag"") as mock_dag_bag:","app, ""dag_bag""","externo"
"Python","apache","airflow","../repos/Python/airflow/tests/www/views/test_views_tasks.py","with freezegun.freeze_time(DEFAULT_DATE):","DEFAULT_DATE","externo"
